"IR1","RED1","IR2","RED2","IR3","RED3","IR4","RED4"
1337,1715,36199,42212,160456,184475,245553,262143
1337,1715,36208,42185,160436,184490,245072,262143
1407,1692,36208,42185,160473,184558,242849,262143
1349,1725,36154,42187,160473,184558,242849,262143
1349,1725,36168,42161,160435,184565,242792,262143
1348,1701,36168,42161,160592,184685,243213,262143
1351,1724,36150,42186,160592,184685,243213,262143
1351,1724,36222,42232,160621,184739,243237,262143
1348,1691,36222,42232,160763,184839,243381,262143
1353,1734,36249,42303,160763,184839,243381,262143
1353,1734,36280,42292,160748,184834,243382,262143
1338,1794,36280,42292,160826,184895,244173,262143
1349,1736,36281,42346,160826,184895,244173,262143
1349,1736,36249,42257,160799,184908,244179,262143
1351,1696,36249,42257,160550,184597,244945,262143
1361,1742,36220,42245,160550,184597,244945,262143
1370,1735,36202,42242,160458,184544,244981,262143
1350,1748,36190,42236,160321,184430,243503,262143
1351,1733,36220,42221,160320,184439,243360,262143
1351,1751,36161,42191,160325,184476,243213,262143
1371,1740,36161,42191,160335,184535,243213,262143
1369,1748,36116,42176,160335,184535,243319,262143
1369,1748,36126,42153,160259,184501,243100,262143
1343,1734,36126,42153,160172,184334,243100,262143
1364,1747,36124,42203,160172,184334,243052,262143
1364,1747,36120,42128,160184,184308,243226,262143
1345,1734,36120,42128,160131,184320,243226,262143
1351,1733,36120,42188,160131,184320,243237,262143
1351,1733,36101,42128,160178,184284,243709,262143
1355,1747,36101,42128,160110,184344,243709,262143
1362,1726,36113,42112,160110,184344,243657,262143
1362,1726,36070,42117,160110,184279,242656,262143
1368,1776,36070,42117,160052,184269,242656,262143
1367,1759,36064,42161,160052,184269,242619,262143
1367,1759,36060,42094,160067,184279,242648,262143
1368,1806,36060,42094,160095,184242,242648,262143
1369,1738,36046,42161,160095,184242,242515,262143
1353,1819,36039,42083,160067,184271,241539,262143
